"ID","Imagen","Codidgo","Nombre","Tipo","Categoria","Cantidad","Impuesto","Metodo","Costo","Precio"
"832","","8720643559285","Gorra Tommy Hilfiger blanco","Standard","General","3.00","0","Inclusivo","264.00","406.00"
"831","","8720644242407","Gorra Tommy verde olivo logo","Standard","General","2.00","0","Inclusivo","179.00","275.00"
"830","","8720117863306","Gorra Tommy negro con logo oscuro","Standard","General","3.00","0","Inclusivo","237.00","365.00"
"829","","8720643556925","Gorra Tommy corinto logo bordado con mallas azul marino","Standard","General","3.00","0","Inclusivo","264.00","406.00"
"828","","8720643561479","Gorra Tommy verde olivo letras blancas pequeñas","Standard","General","2.00","0","Inclusivo","264.00","406.00"
"827","","8720644249611","Gorra Tommy blanco logos","Standard","General","3.00","0","Inclusivo","179.00","275.00"
"826","","010280604006","Camisa Distefano blanco talla L","Standard","General","0.00","0","Inclusivo","183.60","290.00"
"825","","010280603006","Camisa Distefano blanco talla m","Standard","General","1.00","0","Inclusivo","183.60","290.00"
"824","","010280602006","Camisa Distefano blanco talla S","Standard","General","0.00","0","Inclusivo","183.60","290.00"
"823","","010280404007","Camisa Distefano negro talla L","Standard","General","1.00","0","Inclusivo","183.60","290.00"
"822","","010280403007","Camisa Distefano negro talla m","Standard","General","0.00","0","Inclusivo","183.60","290.00"
"821","","010280402007","Camisa Distefano negro talla s","Standard","General","0.00","0","Inclusivo","183.60","290.00"
"820","","010280604002","Camisa Distefano azul claro talla L","Standard","General","0.00","0","Inclusivo","183.60","290.00"
"819","","010280603002","Camisa Distefano azul claro talla m","Standard","General","0.00","0","Inclusivo","183.60","290.00"
"818","","010280602002","Camisa Distefano azul claro talla s","Standard","General","0.00","0","Inclusivo","183.60","290.00"
"817","","480256204023","Camisa Distefano rosa rayas blanco talla L","Standard","General","0.00","0","Inclusivo","171.60","285.00"
"816","","480256203023","Camisa Distefano rosa rayas blanco talla m","Standard","General","0.00","0","Inclusivo","171.60","285.00"
"815","","480256202023","Camisa Distefano rosa rayas blanco talla s","Standard","General","0.00","0","Inclusivo","171.60","285.00"
"814","","480256204001","Camisa Distefano azul oscuro rayas blancas talla L","Standard","General","-1.00","0","Inclusivo","171.60","285.00"
"813","","33345657889","Camisa Distefano azul oscuro rayas blancas talla m","Standard","General","0.00","0","Inclusivo","171.60","285.00"
